lat, long, problem, incidencia, anio, mes, dia, ciclo, prec, tmax, tmin,tmed, velvmax,velv, dirvvmax, dirv, radg,humr, et, dpoint, tmidnight, condiciones,tipo
27.53913498,-109.9816132,Roya Lineal,0.02,2014,2,27,Ciclo 2013-2014,0.0,30.9,9.3,18.8,23.6,4.11,39.0,225.0,541.17,70.43,4.6,13.272853597388547,21.599999999999998,0,G
27.44616508,-110.00850679999999,Roya Lineal,0.01,2014,3,5,Ciclo 2013-2014,0.3,25.7,8.9,16.13,7.1,0.64,196.0,167.6,516.38,82.66,4.0,13.15391408935281,16.799999999999997,0,N
27.44616508,-110.00850679999999,Roya Lineal,0.01,2014,3,4,Ciclo 2013-2014,0.3,24.9,8.5,16.16,8.2,1.03,236.0,281.3,544.74,81.17,4.1,12.902635676910506,16.4,0,G
27.44616508,-110.00850679999999,Roya Lineal,0.01,2014,3,3,Ciclo 2013-2014,0.3,26.2,8.1,16.32,11.4,1.96,270.9,293.7,549.51,78.96,4.2,12.633773266075963,18.1,0,G
27.44616508,-110.00850679999999,Roya Lineal,0.01,2014,3,2,Ciclo 2013-2014,0.0,25.6,12.1,17.97,9.6,1.82,267.8,284.5,533.27,80.57,3.9,14.554947136837626,13.500000000000002,0,G
27.44616508,-110.00850679999999,Roya Lineal,0.01,2014,3,1,Ciclo 2013-2014,0.3,26.3,9.9,17.87,14.6,2.74,187.5,96.1,546.35,79.51,4.0,14.251130755861382,16.4,0,G
27.4419632,-110.0156555,Roya Lineal,0.02,2014,2,25,Ciclo 2013-2014,0.3,24.2,12.6,17.7,6.5,0.4,217.8,299.7,273.91,87.0,1.8,15.492296797508729,11.6,0,N
27.4419632,-110.0156555,Roya Lineal,0.02,2014,2,24,Ciclo 2013-2014,0.3,25.6,10.9,17.36,6.1,0.7,214.1,177.6,527.15,85.52,4.0,14.888870124392326,14.700000000000001,0,G
27.4419632,-110.0156555,Roya Lineal,0.02,2014,2,23,Ciclo 2013-2014,0.0,25.9,9.9,17.38,5.9,0.77,163.6,108.5,388.52,82.09,2.9,14.269690153798962,15.999999999999998,0,G
27.4419632,-110.0156555,Roya Lineal,0.02,2014,2,22,Ciclo 2013-2014,0.0,27.6,10.0,17.46,5.9,0.57,206.6,100.0,521.2,78.58,3.9,13.669168846965974,17.6,0,G
27.4419632,-110.0156555,Roya Lineal,0.02,2014,2,21,Ciclo 2013-2014,0.0,28.3,9.5,17.16,6.5,0.61,259.1,9.2,537.05,78.33,4.1,13.327936390896738,18.8,0,G
27.44543076,-110.1793747,Roya Lineal,0.01,2014,3,4,Ciclo 2013-2014,0.3,24.9,8.5,16.16,8.2,1.03,236.0,281.3,544.74,81.17,4.1,12.902635676910506,16.4,0,N
27.44543076,-110.1793747,Roya Lineal,0.01,2014,3,3,Ciclo 2013-2014,0.3,26.2,8.1,16.32,11.4,1.96,270.9,293.7,549.51,78.96,4.2,12.633773266075963,18.1,0,G
27.44543076,-110.1793747,Roya Lineal,0.01,2014,3,2,Ciclo 2013-2014,0.0,25.6,12.1,17.97,9.6,1.82,267.8,284.5,533.27,80.57,3.9,14.554947136837626,13.500000000000002,0,G
27.44543076,-110.1793747,Roya Lineal,0.01,2014,3,1,Ciclo 2013-2014,0.3,26.3,9.9,17.87,14.6,2.74,187.5,96.1,546.35,79.51,4.0,14.251130755861382,16.4,0,G
27.44543076,-110.1793747,Roya Lineal,0.01,2014,2,28,Ciclo 2013-2014,0.3,27.0,8.7,16.9,7.2,1.2,211.9,123.2,567.72,77.62,4.3,12.934616402213521,18.3,0,G
27.24565315,-109.76322169999999,Roya Lineal,0.01,2014,2,26,Ciclo 2013-2014,0.0,28.4,11.5,20.07,13.1,2.45,289.3,309.8,522.25,72.82,3.9,15.014221239162708,16.9,0,N
27.24565315,-109.76322169999999,Roya Lineal,0.01,2014,2,25,Ciclo 2013-2014,0.0,24.3,11.3,17.7,6.2,0.5,293.2,306.2,243.23,81.15,1.6,14.403119526348135,13.0,0,G
27.24565315,-109.76322169999999,Roya Lineal,0.01,2014,2,24,Ciclo 2013-2014,0.3,25.7,10.1,16.91,5.9,0.92,259.1,263.0,494.58,84.88,3.7,14.32962488409548,15.6,0,G
27.24565315,-109.76322169999999,Roya Lineal,0.01,2014,2,23,Ciclo 2013-2014,0.0,25.2,9.4,17.59,5.0,0.61,265.3,277.6,382.36,76.45,2.8,13.37035655769374,15.799999999999999,0,G
27.24565315,-109.76322169999999,Roya Lineal,0.01,2014,2,22,Ciclo 2013-2014,0.0,26.6,8.1,16.73,4.1,0.44,258.8,6.1,467.92,74.13,3.4,12.063538836376082,18.5,0,G
27.12684822,-109.77305600000001,Roya Lineal,0.01,2014,3,5,Ciclo 2013-2014,0.0,25.3,8.6,16.28,4.0,0.66,250.4,135.7,539.14,81.99,4.0,13.174988291395138,16.700000000000003,0,N
27.12684822,-109.77305600000001,Roya Lineal,0.01,2014,3,4,Ciclo 2013-2014,0.3,24.8,9.1,16.32,3.8,0.56,250.2,272.7,496.21,81.09,3.6,13.04371643890154,15.700000000000001,0,G
27.12684822,-109.77305600000001,Roya Lineal,0.01,2014,3,3,Ciclo 2013-2014,0.3,25.7,8.6,16.29,12.5,1.27,281.4,316.7,533.5,78.92,3.9,12.596769949547735,17.1,0,G
27.12684822,-109.77305600000001,Roya Lineal,0.01,2014,3,2,Ciclo 2013-2014,0.0,26.0,12.9,18.38,4.8,0.92,236.0,305.0,504.32,79.42,3.8,14.730479624449728,13.1,0,G
27.12684822,-109.77305600000001,Roya Lineal,0.01,2014,3,1,Ciclo 2013-2014,0.0,28.3,10.5,18.58,5.7,1.43,186.0,113.8,545.3,74.24,4.2,13.875372050729666,17.8,0,G
27.17297935,-109.82129669999999,Roya Lineal,0.01,2014,3,5,Ciclo 2013-2014,0.0,26.1,8.8,16.36,12.2,5.25,254.0,120.6,553.3,86.62,3.9,14.10498419655984,17.3,0,N
27.17297935,-109.82129669999999,Roya Lineal,0.01,2014,3,4,Ciclo 2013-2014,0.0,26.7,9.5,17.01,11.6,4.9,257.0,320.9,511.5,83.11,3.7,14.099678579490572,17.2,0,G
27.17297935,-109.82129669999999,Roya Lineal,0.01,2014,3,3,Ciclo 2013-2014,0.0,26.6,10.1,16.96,16.7,5.19,278.4,312.0,534.08,80.56,4.1,13.567244684461002,16.5,0,G
27.17297935,-109.82129669999999,Roya Lineal,0.01,2014,3,2,Ciclo 2013-2014,0.0,27.2,11.5,18.9,11.9,4.31,262.6,298.7,505.19,82.18,3.9,15.773596534144318,15.7,0,G
27.17297935,-109.82129669999999,Roya Lineal,0.01,2014,3,1,Ciclo 2013-2014,0.0,28.1,11.0,18.83,11.0,6.0,221.0,131.5,542.25,80.21,4.3,15.32408654053873,17.1,0,G
27.20516586,-109.8308868,Roya Lineal,0.01,2014,3,5,Ciclo 2013-2014,0.0,26.1,8.8,16.36,12.2,5.25,254.0,120.6,553.3,86.62,3.9,14.10498419655984,17.3,0,N
27.20516586,-109.8308868,Roya Lineal,0.01,2014,3,4,Ciclo 2013-2014,0.0,26.7,9.5,17.01,11.6,4.9,257.0,320.9,511.5,83.11,3.7,14.099678579490572,17.2,0,G
27.20516586,-109.8308868,Roya Lineal,0.01,2014,3,3,Ciclo 2013-2014,0.0,26.6,10.1,16.96,16.7,5.19,278.4,312.0,534.08,80.56,4.1,13.567244684461002,16.5,0,G
27.20516586,-109.8308868,Roya Lineal,0.01,2014,3,2,Ciclo 2013-2014,0.0,27.2,11.5,18.9,11.9,4.31,262.6,298.7,505.19,82.18,3.9,15.773596534144318,15.7,0,G
27.20516586,-109.8308868,Roya Lineal,0.01,2014,3,1,Ciclo 2013-2014,0.0,28.1,11.0,18.83,11.0,6.0,221.0,131.5,542.25,80.21,4.3,15.32408654053873,17.1,0,G
27.23811913,-109.78388980000001,Roya Lineal,0.02,2014,3,19,Ciclo 2013-2014,0.0,26.5,12.7,18.98,7.5,1.38,150.4,212.2,493.7,70.09,3.8,13.371197027469364,13.8,0,N
27.23811913,-109.78388980000001,Roya Lineal,0.02,2014,3,18,Ciclo 2013-2014,0.0,28.4,8.5,17.86,14.0,3.0,159.3,81.4,573.49,57.8,5.1,9.377951676925619,19.9,0,G
27.23811913,-109.78388980000001,Roya Lineal,0.02,2014,3,17,Ciclo 2013-2014,0.0,28.4,9.4,18.57,12.4,2.66,263.9,314.6,595.42,47.48,5.0,7.126818125876767,19.0,0,G
27.23811913,-109.78388980000001,Roya Lineal,0.02,2014,3,16,Ciclo 2013-2014,0.0,30.4,10.7,19.94,9.9,1.18,20.1,285.0,573.68,44.97,4.9,7.586135284233933,19.7,0,G
27.23811913,-109.78388980000001,Roya Lineal,0.02,2014,3,15,Ciclo 2013-2014,0.0,28.4,11.2,18.73,16.4,3.99,274.5,308.9,545.45,67.13,4.9,12.467954544033773,17.2,0,G
27.24871063,-109.99439240000001,Roya Lineal,0.03,2014,3,4,Ciclo 2013-2014,0.0,26.5,9.0,17.56,12.8,5.4,292.1,255.2,471.18,74.29,3.8,12.899286868677592,17.5,0,N
27.24871063,-109.99439240000001,Roya Lineal,0.03,2014,3,3,Ciclo 2013-2014,0.0,27.2,9.7,17.72,17.4,7.63,284.8,293.7,491.02,72.22,4.0,12.619320196919972,17.5,0,G
27.24871063,-109.99439240000001,Roya Lineal,0.03,2014,3,2,Ciclo 2013-2014,0.0,26.8,14.1,19.34,14.6,7.33,294.3,290.3,461.66,75.68,3.7,14.910124641122408,12.700000000000001,0,G
27.24871063,-109.99439240000001,Roya Lineal,0.03,2014,3,1,Ciclo 2013-2014,0.0,28.5,10.6,19.46,18.9,8.1,164.2,141.8,494.6,73.78,4.0,14.62951811749815,17.9,0,G
27.24871063,-109.99439240000001,Roya Lineal,0.03,2014,2,28,Ciclo 2013-2014,0.0,29.7,9.7,18.58,11.1,5.47,70.6,129.0,495.78,69.07,4.0,12.761417986432505,20.0,0,G
27.25335693,-110.1326294,Roya Lineal,0.01,2014,2,25,Ciclo 2013-2014,0.0,24.9,13.8,18.46,8.8,3.43,240.4,305.6,241.86,81.27,1.5,15.168637930808785,11.099999999999998,0,N
27.25335693,-110.1326294,Roya Lineal,0.01,2014,2,24,Ciclo 2013-2014,0.0,26.1,11.9,18.04,5.2,1.71,281.4,111.2,527.56,81.98,4.0,14.894247579409623,14.200000000000001,0,G
27.25335693,-110.1326294,Roya Lineal,0.01,2014,2,23,Ciclo 2013-2014,0.0,27.5,10.9,17.99,8.6,2.74,90.6,109.6,403.71,75.71,3.0,13.60785043535732,16.6,0,G
27.25335693,-110.1326294,Roya Lineal,0.01,2014,2,22,Ciclo 2013-2014,0.0,28.7,11.1,18.1,6.1,3.11,228.7,108.1,504.66,73.5,3.9,13.256483329803856,17.6,0,G
27.25335693,-110.1326294,Roya Lineal,0.01,2014,2,21,Ciclo 2013-2014,0.0,29.6,10.4,18.12,11.1,4.89,258.7,278.9,536.77,70.95,4.4,12.732066189460184,19.200000000000003,0,G
27.23604012,-110.0158844,Roya Lineal,0.01,2014,3,4,Ciclo 2013-2014,0.0,26.5,9.0,17.56,12.8,5.4,292.1,255.2,471.18,74.29,3.8,12.899286868677592,17.5,0,N
27.23604012,-110.0158844,Roya Lineal,0.01,2014,3,3,Ciclo 2013-2014,0.0,27.2,9.7,17.72,17.4,7.63,284.8,293.7,491.02,72.22,4.0,12.619320196919972,17.5,0,G
27.23604012,-110.0158844,Roya Lineal,0.01,2014,3,2,Ciclo 2013-2014,0.0,26.8,14.1,19.34,14.6,7.33,294.3,290.3,461.66,75.68,3.7,14.910124641122408,12.700000000000001,0,G
27.23604012,-110.0158844,Roya Lineal,0.01,2014,3,1,Ciclo 2013-2014,0.0,28.5,10.6,19.46,18.9,8.1,164.2,141.8,494.6,73.78,4.0,14.62951811749815,17.9,0,G
27.23604012,-110.0158844,Roya Lineal,0.01,2014,2,28,Ciclo 2013-2014,0.0,29.7,9.7,18.58,11.1,5.47,70.6,129.0,495.78,69.07,4.0,12.761417986432505,20.0,0,G
